name,start,end,concert
Stadtfest,2022-09-18 10:00:00,2022-09-18 23:00:00,0
Mantelsonntag,2022-10-27 13:00:00,2022-10-27 18:00:00,0
Black Friday,2022-11-25 10:00:00,2022-11-25 20:00:00,0
Weihnachtsmarkt,2022-11-25 10:00:00,2022-11-25 20:30:00,0
Weihnachtsmarkt,2022-11-26 10:00:00,2022-11-26 20:30:00,0
Weihnachtsmarkt,2022-11-27 11:00:00,2022-11-27 20:30:00,0
Weihnachtsmarkt,2022-11-28 10:00:00,2022-11-28 20:30:00,0
Weihnachtsmarkt,2022-11-29 10:00:00,2022-11-29 20:30:00,0
Weihnachtsmarkt,2022-11-30 10:00:00,2022-11-30 20:30:00,0
Weihnachtsmarkt,2022-12-01 10:00:00,2022-12-01 20:30:00,0
Weihnachtsmarkt,2022-12-02 10:00:00,2022-12-02 20:30:00,0
Weihnachtsmarkt,2022-12-03 10:00:00,2022-12-03 20:30:00,0
Lichterglanz,2022-12-03 18:00:00,2022-12-03 23:00:00,0
Weihnachtsmarkt,2022-12-04 11:00:00,2022-12-04 20:30:00,0
Weihnachtsmarkt,2022-12-05 10:00:00,2022-12-05 20:30:00,0
Weihnachtsmarkt,2022-12-06 10:00:00,2022-12-06 20:30:00,0
Weihnachtsmarkt,2022-12-07 10:00:00,2022-12-07 20:30:00,0
Weihnachtsmarkt,2022-12-08 10:00:00,2022-12-08 20:30:00,0
Weihnachtsmarkt,2022-12-09 10:00:00,2022-12-09 20:30:00,0
Weihnachtsmarkt,2022-12-10 10:00:00,2022-12-10 20:30:00,0
Weihnachtsmarkt,2022-12-11 11:00:00,2022-12-11 20:30:00,0
Weihnachtsmarkt,2022-12-12 10:00:00,2022-12-12 20:30:00,0
Weihnachtsmarkt,2022-12-13 10:00:00,2022-12-13 20:30:00,0
Weihnachtsmarkt,2022-12-14 10:00:00,2022-12-14 20:30:00,0
Weihnachtsmarkt,2022-12-15 10:00:00,2022-12-15 20:30:00,0
Weihnachtsmarkt,2022-12-16 10:00:00,2022-12-16 20:30:00,0
Weihnachtsmarkt,2022-12-17 10:00:00,2022-12-17 20:30:00,0
Weihnachtsmarkt,2022-12-18 11:00:00,2022-12-18 20:30:00,0
Weihnachtsmarkt,2022-12-19 10:00:00,2022-12-19 20:30:00,0
Weihnachtsmarkt,2022-12-20 10:00:00,2022-12-20 20:30:00,0
Weihnachtsmarkt,2022-12-21 10:00:00,2022-12-21 20:30:00,0
Weihnachtsmarkt,2022-12-22 10:00:00,2022-12-22 20:30:00,0
Weihnachtsmarkt,2022-12-23 10:00:00,2022-12-23 20:30:00,0
Faschingszug ,2023-02-19 12:00:00,2023-02-19 23:59:59,0
Frühjahrsvolksfest,2023-03-09 14:00:00,2023-03-09 23:00:00,0
Frühjahrsvolksfest,2023-03-10 14:00:00,2023-03-10 23:59:59,0
Frühjahrsvolksfest,2023-03-11 14:00:00,2023-03-11 23:59:59,0
Frühjahrsvolksfest,2023-03-12 12:00:00,2023-03-12 22:30:00,0
Frühjahrsvolksfest,2023-03-13 14:00:00,2023-03-13 23:00:00,0
Frühjahrsvolksfest,2023-03-14 14:00:00,2023-03-14 23:00:00,0
Frühjahrsvolksfest,2023-03-15 14:00:00,2023-03-15 23:00:00,0
Frühjahrsvolksfest,2023-03-16 14:00:00,2023-03-16 23:00:00,0
Frühjahrsvolksfest,2023-03-17 14:00:00,2023-03-17 23:59:59,0
Frühjahrsvolksfest,2023-03-18 14:00:00,2023-03-18 23:59:59,0
Frühjahrsvolksfest,2023-03-18 14:00:00,2023-03-18 23:59:59,0
Frühjahrsvolksfest,2023-03-19 12:00:00,2023-03-19 22:30:00,0
Frühjahrsvolksfest,2023-03-19 12:00:00,2023-03-19 22:30:00,0
Frühjahrsvolksfest,2023-03-20 14:00:00,2023-03-20 23:00:00,0
Frühjahrsvolksfest,2023-03-20 14:00:00,2023-03-20 23:00:00,0
Frühjahrsvolksfest,2023-03-21 14:00:00,2023-03-21 23:00:00,0
Frühjahrsvolksfest,2023-03-21 14:00:00,2023-03-21 23:00:00,0
Frühjahrsvolksfest,2023-03-22 14:00:00,2023-03-22 23:00:00,0
Frühjahrsvolksfest,2023-03-22 14:00:00,2023-03-22 23:00:00,0
Frühjahrsvolksfest,2023-03-23 14:00:00,2023-03-23 23:00:00,0
Frühjahrsvolksfest,2023-03-23 14:00:00,2023-03-23 23:00:00,0
Frühjahrsvolksfest,2023-03-24 14:00:00,2023-03-24 23:59:59,0
Frühjahrsvolksfest,2023-03-24 14:00:00,2023-03-24 23:59:59,0
Frühjahrsvolksfest,2023-03-25 14:00:00,2023-03-25 23:59:59,0
Frühjahrsvolksfest,2023-03-26 12:00:00,2023-03-26 22:30:00,0
Frühjahrsvolksfest,2023-03-27 14:00:00,2023-03-27 23:00:00,0
